measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load,cluster_hierarchical,cluster_kmeans
2,2025-03-20T09:01:35,analyze_conflicts,488.75,50,51,0,0.259,4,2
13,2025-01-13T18:24:38,analyze_conflicts,536.89,100,101,0,0.897,4,2
18,2025-03-03T08:05:46,add_grade,7.63,100,1,0,0.489,4,2
22,2025-01-03T19:57:02,analyze_conflicts,505.24,50,51,0,0.788,4,2
30,2025-01-24T17:20:03,analyze_conflicts,509.43,50,51,0,0.14,4,2
32,2025-03-02T17:39:05,analyze_conflicts,489.85,50,51,0,0.435,4,2
34,2025-03-19T09:06:04,analyze_conflicts,600.37,200,201,0,0.53,4,2
35,2025-02-10T09:10:28,get_group_report,80.17,200,5,0,0.767,4,0
37,2025-01-09T09:18:38,add_grade,26.2,50,1,0,0.269,4,2
40,2025-03-02T19:53:23,analyze_conflicts,516.16,50,51,0,0.566,4,2
41,2025-01-12T08:13:43,analyze_conflicts,532.33,100,101,0,0.3,4,2
44,2025-01-28T19:30:14,analyze_conflicts,524.32,100,101,0,0.26,4,2
47,2025-02-12T08:46:50,analyze_conflicts,604.34,200,201,0,0.351,4,2
51,2025-01-20T18:36:19,analyze_conflicts,709.93,300,301,0,0.425,4,1
53,2025-01-10T19:32:42,analyze_conflicts,686.79,300,301,0,0.606,4,1
54,2025-01-05T18:01:02,analyze_conflicts,532.42,100,101,0,0.296,4,2
56,2025-01-06T09:51:44,analyze_conflicts,511.14,50,51,0,0.514,4,2
57,2025-02-22T09:33:35,analyze_conflicts,538.26,100,101,0,0.576,4,2
60,2025-01-09T09:21:20,add_grade,32.54,300,1,0,0.814,4,2
68,2025-03-02T18:48:01,add_grade,1.0,100,1,0,0.86,4,2
69,2025-01-16T17:42:07,analyze_conflicts,486.1,50,51,0,0.551,4,2
70,2025-03-24T13:45:07,analyze_conflicts,606.71,200,201,0,0.722,4,2
71,2025-02-19T09:43:58,analyze_conflicts,623.15,200,201,0,0.867,4,2
72,2025-03-08T09:06:44,analyze_conflicts,543.68,100,101,0,0.718,4,2
75,2025-03-09T19:39:51,analyze_conflicts,540.87,100,101,0,0.836,4,2
79,2025-02-16T09:35:48,analyze_conflicts,529.65,100,101,0,0.292,4,2
82,2025-02-04T09:47:34,analyze_conflicts,548.85,100,101,0,0.861,4,2
85,2025-03-28T19:48:31,analyze_conflicts,637.76,200,201,0,0.182,4,2
87,2025-03-02T09:09:09,analyze_conflicts,703.08,300,301,0,0.749,4,1
93,2025-03-05T09:58:17,get_group_report,81.78,300,7,0,0.761,4,0
96,2025-03-19T18:01:48,analyze_conflicts,553.44,100,101,0,0.638,4,2
105,2025-03-09T13:52:00,analyze_conflicts,717.37,300,301,0,0.326,4,1
114,2025-02-14T08:09:15,analyze_conflicts,611.73,200,201,0,0.525,4,2
116,2025-02-22T18:00:57,analyze_conflicts,690.16,300,301,0,0.744,4,1
119,2025-03-13T08:17:00,analyze_conflicts,639.12,200,201,0,0.553,4,2
121,2025-03-25T17:42:43,analyze_conflicts,530.03,100,101,0,0.771,4,2
128,2025-01-10T09:31:07,add_grade,9.59,300,1,0,0.178,4,2
130,2025-02-20T18:26:17,analyze_conflicts,683.96,300,301,0,0.126,4,1
139,2025-02-20T09:09:04,analyze_conflicts,715.97,300,301,0,0.201,4,1
146,2025-02-04T13:48:17,analyze_conflicts,513.81,50,51,0,0.559,4,2
150,2025-02-25T13:36:38,analyze_conflicts,532.47,100,101,0,0.168,4,2
151,2025-01-09T17:28:42,analyze_conflicts,521.99,100,101,0,0.439,4,2
153,2025-03-02T08:00:13,analyze_conflicts,608.82,200,201,0,0.341,4,2
156,2025-03-13T13:45:40,analyze_conflicts,503.03,50,51,0,0.434,4,2
157,2025-03-15T13:53:44,analyze_conflicts,486.87,50,51,0,0.836,4,2
159,2025-01-17T09:32:12,analyze_conflicts,540.42,100,101,0,0.825,4,2
166,2025-01-17T13:41:11,analyze_conflicts,519.3,50,51,0,0.131,4,2
172,2025-02-07T13:14:08,analyze_conflicts,557.91,100,101,0,0.224,4,2
175,2025-02-20T18:18:48,analyze_conflicts,628.78,200,201,0,0.699,4,2
178,2025-02-18T08:59:06,analyze_conflicts,625.65,200,201,0,0.669,4,2
181,2025-02-04T13:53:45,analyze_conflicts,488.98,50,51,0,0.62,4,2
183,2025-01-18T08:46:38,analyze_conflicts,490.24,50,51,0,0.522,4,2
185,2025-03-17T17:36:15,analyze_conflicts,701.44,300,301,0,0.675,4,1
186,2025-03-14T17:11:42,analyze_conflicts,494.11,50,51,0,0.635,4,2
190,2025-01-26T19:08:04,get_group_report,79.14,300,7,0,0.673,4,0
193,2025-02-24T13:28:57,add_grade,13.98,50,1,0,0.865,4,2
199,2025-03-02T13:38:09,analyze_conflicts,615.31,200,201,0,0.643,4,2
200,2025-03-12T09:25:20,add_grade,26.96,300,1,0,0.62,4,2
201,2025-02-17T08:24:58,analyze_conflicts,509.43,50,51,0,0.549,4,2
202,2025-03-10T19:44:58,analyze_conflicts,617.85,200,201,0,0.899,4,2
203,2025-03-15T09:05:51,analyze_conflicts,538.08,100,101,0,0.646,4,2
204,2025-03-10T19:57:19,add_grade,3.6,200,1,0,0.781,4,2
213,2025-03-01T17:31:56,analyze_conflicts,536.66,100,101,0,0.602,4,2
217,2025-02-28T09:39:26,analyze_conflicts,522.02,100,101,0,0.299,4,2
218,2025-01-25T17:10:31,get_group_report,73.85,200,5,0,0.897,4,0
227,2025-03-28T17:44:40,analyze_conflicts,692.31,300,301,0,0.121,4,1
236,2025-02-07T18:12:52,analyze_conflicts,690.26,300,301,0,0.531,4,1
238,2025-02-23T08:30:06,analyze_conflicts,524.01,100,101,0,0.645,4,2
240,2025-01-21T18:36:14,analyze_conflicts,602.37,200,201,0,0.528,4,2
242,2025-03-04T08:59:21,add_grade,8.44,50,1,0,0.328,4,2
244,2025-01-01T18:47:21,analyze_conflicts,690.29,300,301,0,0.733,4,1
247,2025-01-09T17:41:23,add_grade,29.92,200,1,0,0.654,4,2
249,2025-01-16T17:09:29,add_grade,9.83,200,1,0,0.698,4,2
254,2025-02-27T19:00:47,analyze_conflicts,600.87,200,201,0,0.274,4,2
255,2025-03-02T13:59:57,analyze_conflicts,708.02,300,301,0,0.155,4,1
261,2025-01-15T09:38:43,analyze_conflicts,524.04,100,101,0,0.663,4,2
271,2025-01-13T19:58:15,analyze_conflicts,544.18,100,101,0,0.542,4,2
274,2025-03-19T08:46:26,analyze_conflicts,530.43,100,101,0,0.336,4,2
284,2025-03-28T18:06:57,analyze_conflicts,711.38,300,301,0,0.523,4,1
285,2025-02-09T19:02:59,analyze_conflicts,555.5,100,101,0,0.159,4,2
291,2025-02-23T09:50:40,analyze_conflicts,490.72,50,51,0,0.223,4,2
292,2025-02-15T09:23:48,analyze_conflicts,603.66,200,201,0,0.316,4,2
296,2025-02-14T09:19:30,analyze_conflicts,526.69,100,101,0,0.726,4,2
297,2025-03-20T19:12:29,analyze_conflicts,545.0,100,101,0,0.186,4,2
307,2025-02-08T09:32:47,analyze_conflicts,680.42,300,301,0,0.515,4,1
311,2025-03-04T08:43:51,analyze_conflicts,513.97,50,51,0,0.231,4,2
314,2025-01-19T19:06:51,get_group_report,77.35,200,5,0,0.798,4,0
322,2025-02-18T17:32:07,analyze_conflicts,709.7,300,301,0,0.558,4,1
335,2025-02-03T09:23:42,get_group_report,71.18,200,5,0,0.823,4,0
336,2025-03-25T18:14:27,analyze_conflicts,692.22,300,301,0,0.624,4,1
341,2025-01-25T09:07:37,analyze_conflicts,555.86,100,101,0,0.684,4,2
347,2025-02-17T08:18:40,analyze_conflicts,556.9,100,101,0,0.67,4,2
350,2025-01-02T19:15:05,analyze_conflicts,718.14,300,301,0,0.84,4,1
352,2025-02-12T19:33:33,analyze_conflicts,520.45,100,101,0,0.726,4,2
355,2025-01-09T17:49:06,analyze_conflicts,686.68,300,301,0,0.815,4,1
360,2025-01-12T09:12:18,add_grade,23.12,200,1,0,0.551,4,2
362,2025-01-08T08:34:22,get_group_report,67.3,100,3,0,0.609,4,2
369,2025-03-10T09:52:45,analyze_conflicts,603.62,200,201,0,0.658,4,2
371,2025-02-18T08:47:35,analyze_conflicts,558.08,100,101,0,0.3,4,2
372,2025-01-05T09:12:52,analyze_conflicts,520.48,100,101,0,0.42,4,2
374,2025-02-04T09:02:29,analyze_conflicts,556.2,100,101,0,0.141,4,2
376,2025-03-08T08:41:18,analyze_conflicts,544.56,100,101,0,0.499,4,2
